SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ECLFINANCE, NJ, 09-Jan-2023,980,981,983.99,976.02,976.82,976.95,980.18,502,4.92,18,492,98.01
ECLFINANCE, NK, 09-Jan-2023,1012,1010,1010,1005,1007.6,1007.6,1006.36,153,1.54,6,153,100
ECLFINANCE, NO, 09-Jan-2023,999.98,1004,1005,998.25,1000,1001.75,1004.38,579,5.82,7,579,100
ECLFINANCE, NS, 09-Jan-2023,1027.5,1000,1000,1000,1000,1000,1000,468,4.68,52,468,100
EDELWEISS, EQ, 09-Jan-2023,63.3,63.8,64.4,63.4,63.95,63.9,63.98,901638,576.86,8179,447517,49.63
EDUCOMP, BZ, 09-Jan-2023,2.3,2.3,2.35,2.25,2.3,2.3,2.27,3576,0.08,27, -, -
EHFLNCD, N5, 09-Jan-2023,999,999,999,965.5,998.8,998.8,982.84,104,1.02,6,54,51.92
EHFLNCD, N6, 09-Jan-2023,1020.01,1021.01,1030,1021,1030,1030,1028.35,1103,11.34,13,1103,100
EHFLNCD, N7, 09-Jan-2023,1775,1775,1775,1775,1775,1775,1775,171,3.04,8,171,100
EICHERMOT, EQ, 09-Jan-2023,3250.6,3266.9,3275.1,3229.2,3262,3262.55,3251.15,391801,12738.02,42132,195774,49.97
EIDPARRY, EQ, 09-Jan-2023,554.7,556,562.9,553.05,556.5,556.6,558.36,99980,558.25,6705,53601,53.61
EIFFL, EQ, 09-Jan-2023,161.8,161.65,161.7,159.5,159.5,160.2,160.29,30370,48.68,109,29913,98.5
EIHAHOTELS, EQ, 09-Jan-2023,416.25,418.35,425.05,418,422,419.5,421.29,4364,18.39,369,1672,38.31
EIHOTEL, EQ, 09-Jan-2023,176.95,178,181.85,176.3,177.3,177.3,179.29,294327,527.69,5710,118698,40.33
EIMCOELECO, EQ, 09-Jan-2023,375.3,397.6,397.6,379.85,382.55,382.6,384.29,2977,11.44,419,1369,45.99
EKC, EQ, 09-Jan-2023,95.85,96.5,96.55,95.75,96.05,95.9,96.14,131902,126.82,1820,68490,51.92
ELDEHSG, EQ, 09-Jan-2023,567.7,588,596.4,572.8,596.4,590.9,586.46,1533,8.99,177,1084,70.71
ELECON, EQ, 09-Jan-2023,358.75,361.35,375,361.35,373,371.9,368.33,295928,1090,10345,166163,56.15
ELECTCAST, EQ, 09-Jan-2023,38.05,38.35,39,37.6,38.1,38.1,38.53,808062,311.32,2482,386491,47.83
ELECTHERM, EQ, 09-Jan-2023,71.85,72.65,72.95,69.6,70.75,70.45,71.32,7864,5.61,213,4853,61.71
ELGIEQUIP, EQ, 09-Jan-2023,410.45,413,416.2,407,410.15,409.75,411.41,91636,377,4523,33278,36.32
ELGIRUBCO, EQ, 09-Jan-2023,37.5,38.8,41,37.55,38,37.95,39.5,423750,167.38,2272,189335,44.68
ELIN, EQ, 09-Jan-2023,222.1,223.05,227.95,221,221.75,223.05,224.98,217849,490.12,10483,101070,46.39
EMAMILTD, EQ, 09-Jan-2023,420.35,420.9,422.5,415.9,418.2,419.15,417.67,161516,674.61,9901,110696,68.54
EMAMIPAP, EQ, 09-Jan-2023,147.1,148.85,155,147.9,148.55,148.9,149.95,17292,25.93,556,3326,19.23
EMAMIREAL, EQ, 09-Jan-2023,81.1,82.1,83.55,80.2,82,80.8,81.22,57479,46.69,827,33760,58.73
EMBASSY, RR, 09-Jan-2023,340.09,340,341.49,337.25,338,338.33,339.05,249065,844.45,9557,209636,84.17
EMIL, EQ, 09-Jan-2023,82.5,82.9,83.25,81.55,81.8,82.05,82.24,677367,557.08,4144,497624,73.46
EMKAY, EQ, 09-Jan-2023,73.6,75.75,77.5,75.4,76.65,76.3,76.42,12721,9.72,285,7191,56.53
EMMBI, EQ, 09-Jan-2023,99.25,102,102,97.3,98.5,98.1,99.27,23513,23.34,492,12927,54.98
EMUDHRA, EQ, 09-Jan-2023,305.4,308.9,309.4,303.3,305,305.15,306.23,55048,168.57,3145,28256,51.33
ENDURANCE, EQ, 09-Jan-2023,1400.05,1405,1405,1356.55,1357.15,1362.8,1375.02,27744,381.49,6280,15599,56.22
ENERGYDEV, EQ, 09-Jan-2023,19,19,19.3,18.6,18.95,19.05,18.89,48503,9.16,340,27540,56.78
ENGINERSIN, EQ, 09-Jan-2023,83.9,84.3,84.7,82.65,83.25,83.35,83.26,2441050,2032.52,8941,973602,39.88
ENIL, EQ, 09-Jan-2023,149.25,150.75,151.75,146.1,146.15,147.3,148.38,13665,20.28,562,8400,61.47
EPL, EQ, 09-Jan-2023,167.45,171.4,171.4,161.65,165.2,164.6,164.56,541375,890.87,10400,308019,56.9
EQUIPPP, BE, 09-Jan-2023,54.5,57,57,52,53.7,52.8,53.9,3082,1.66,90, -, -
EQUITAS, EQ, 09-Jan-2023,131.95,135,135,126.8,129.5,128.5,130.26,1072807,1397.46,13248,541426,50.47
EQUITASBNK, EQ, 09-Jan-2023,58.7,59.05,59.15,56.3,57.35,57.15,57.34,2820391,1617.34,12844,1294963,45.91
ERFLNCDI, N4, 09-Jan-2023,1057,1065,1065,1058,1064.5,1064.5,1059.06,800,8.47,14,800,100
ERFLNCDI, N5, 09-Jan-2023,943,948,948,948,948,948,948,1,0.01,1,1,100
ERIS, EQ, 09-Jan-2023,647.15,650,653.45,644,644.05,647.2,647.72,13183,85.39,1551,7668,58.17
EROSMEDIA, EQ, 09-Jan-2023,27.45,27.75,28.05,26.8,27.25,27.25,27.44,184951,50.76,962,115056,62.21
ESABINDIA, EQ, 09-Jan-2023,4125.35,4140,4140.2,4041,4090,4102.2,4096.57,2032,83.24,720,1138,56
ESCORTS, EQ, 09-Jan-2023,2164.9,2170,2212.6,2170,2207,2209.35,2200.15,204731,4504.4,14145,60070,29.34
ESSARSHPNG, EQ, 09-Jan-2023,9.4,9.7,9.7,9.3,9.5,9.55,9.53,171023,16.31,426,99934,58.43
ESSENTIA, BE, 09-Jan-2023,6.5,6.75,6.8,6.55,6.8,6.8,6.7,153883,10.3,162, -, -
ESTER, EQ, 09-Jan-2023,129.5,130.6,132,128.2,129.9,129.25,130.32,42486,55.37,1565,21289,50.11
ETHOSLTD, EQ, 09-Jan-2023,1012.95,1012.95,1075,1004,1013,1017.3,1041.42,95343,992.92,11742,38404,40.28
EVEREADY, EQ, 09-Jan-2023,370.7,373,376.35,365,367,368.4,370.39,73411,271.91,3725,33493,45.62
EVERESTIND, EQ, 09-Jan-2023,770,771,798,769,789.75,790.7,782.53,16827,131.68,2049,7270,43.2
EXCEL, BE, 09-Jan-2023,0.5,0.5,0.55,0.5,0.55,0.55,0.52,3377875,17.72,1533, -, -
EXCELINDUS, EQ, 09-Jan-2023,1170.2,1176.1,1182.05,1151,1159.8,1158.2,1169.18,4110,48.05,1024,1828,44.48
EXIDEIND, EQ, 09-Jan-2023,178.4,179,181.35,178.8,180.6,180.8,180.18,1205955,2172.92,25845,565770,46.91
EXPLEOSOL, EQ, 09-Jan-2023,1232.75,1262.35,1275,1237.55,1248,1247.55,1254.28,5811,72.89,1269,3038,52.28
EXXARO, EQ, 09-Jan-2023,136.7,135.4,140.6,133.1,139.45,138.8,137.78,671113,924.65,7060,257371,38.35
FACT, EQ, 09-Jan-2023,352.95,353.1,364.8,337.65,342.4,340.55,347.94,2075278,7220.72,37644,427619,20.61
FAIRCHEMOR, EQ, 09-Jan-2023,1233.85,1245,1281.8,1230.35,1235,1237.3,1244.47,8959,111.49,2154,4238,47.3
FAZE3Q, EQ, 09-Jan-2023,273.3,270.1,285.3,270.1,280,280.25,280.85,9220,25.89,540,7624,82.69
FCL, EQ, 09-Jan-2023,242.9,247.95,251.95,245.6,248,248.05,248.03,375728,931.93,14047,81964,21.81
FCONSUMER, EQ, 09-Jan-2023,1.55,1.55,1.55,1.5,1.55,1.55,1.51,6422113,97.13,1672,3698395,57.59
FCSSOFT, EQ, 09-Jan-2023,2.75,2.8,2.8,2.7,2.75,2.75,2.76,1910068,52.74,2316,1187572,62.17
FDC, EQ, 09-Jan-2023,272.55,273.85,275.45,269.65,272.15,272.1,271.62,87824,238.55,6151,39288,44.73
FEDERALBNK, EQ, 09-Jan-2023,134.6,135.45,137,134.75,135.45,135.65,135.71,10116170,13728.81,59689,3844621,38
FEL, EQ, 09-Jan-2023,1.9,1.9,1.95,1.85,1.85,1.85,1.9,4781711,91.05,1597,1735494,36.29
FELDVR, EQ, 09-Jan-2023,7.75,7.95,8.1,7.75,8.1,8.1,8.05,39787,3.2,96,28959,72.79
FELIX, SM, 09-Jan-2023,76.15,79.7,79.95,79.7,79.95,79.95,79.85,28000,22.36,7,24000,85.71
FIBERWEB, EQ, 09-Jan-2023,35.7,36.5,37.8,36,36.4,36.1,36.88,84095,31.02,916,50337,59.86
FIDEL, SM, 09-Jan-2023,64,63,64.9,63,64.9,64.9,63.95,6000,3.84,2,6000,100
FIEMIND, EQ, 09-Jan-2023,1669.75,1676.05,1698.45,1665.3,1682.15,1674.35,1680.44,14036,235.87,2652,5781,41.19
FILATEX, EQ, 09-Jan-2023,43.05,45.25,47.95,44.05,47.2,47.05,46.98,3691478,1734.32,14252,640733,17.36
FINCABLES, EQ, 09-Jan-2023,542.95,549.85,557,537.2,539.95,539.7,542.78,302806,1643.56,8210,195505,64.56
FINEORG, EQ, 09-Jan-2023,5576.65,5575,5739,5575,5721,5709.05,5689.94,23764,1352.16,8841,10515,44.25
FINOPB, EQ, 09-Jan-2023,250.6,252.35,274.35,251.5,273,268.6,265.26,528500,1401.92,10736,262091,49.59
FINPIPE, EQ, 09-Jan-2023,178.6,180,182.95,177.5,178.6,178.8,179.3,482532,865.17,9901,174547,36.17
FIVESTAR, EQ, 09-Jan-2023,637.25,643,646.95,627.05,628,632.95,639.57,62370,398.9,4274,22993,36.87
FLEXITUFF, BE, 09-Jan-2023,30.3,30.4,31,29.05,29.4,29.7,29.9,4560,1.36,41, -, -
FLFL, BE, 09-Jan-2023,10.15,9.65,9.65,9.65,9.65,9.65,9.65,39144,3.78,279, -, -
FLUOROCHEM, EQ, 09-Jan-2023,2930.85,2946.3,2969,2870.25,2886.1,2888.5,2901.96,81265,2358.28,15891,44672,54.97
FMGOETZE, EQ, 09-Jan-2023,309.75,313,313.2,309.05,309.1,310.55,310.94,25576,79.53,1609,17290,67.6
FMNL, EQ, 09-Jan-2023,5.45,5.25,5.4,5.2,5.2,5.2,5.25,120452,6.33,328,98058,81.41
FOCUS, EQ, 09-Jan-2023,311.4,316.75,320.45,311.4,319,315.4,316.31,28679,90.72,554,18878,65.83
FOODSIN, BE, 09-Jan-2023,135.55,132.5,139.4,132.5,136.95,135.95,136.67,83518,114.14,421, -, -
FORCEMOT, EQ, 09-Jan-2023,1502.55,1505.15,1555,1505.15,1538.1,1544.1,1535.79,82001,1259.37,8138,26853,32.75
FORTIS, EQ, 09-Jan-2023,284.85,285.75,289.75,282.4,288.35,287.25,286.76,938448,2691.13,15625,836527,89.14
FOSECOIND, EQ, 09-Jan-2023,1879.25,1877.55,1959.9,1877.55,1911.5,1922.45,1924.62,1920,36.95,414,965,50.26
FRETAIL, BZ, 09-Jan-2023,3.8,3.95,3.95,3.95,3.95,3.95,3.95,481493,19.02,720, -, -
FROG, SM, 09-Jan-2023,232,234.55,234.95,226.5,228.55,228.8,231.37,9200,21.29,17,7200,78.26
FSC, BE, 09-Jan-2023,27.15,25.8,25.8,25.8,25.8,25.8,25.8,12979,3.35,206, -, -
FSL, EQ, 09-Jan-2023,101.25,102.05,104.4,102.05,103.8,103.85,103.51,1603109,1659.42,11422,559004,34.87
FUSION, EQ, 09-Jan-2023,385.25,386.95,404.4,386.95,395,393.4,396.45,340898,1351.51,8861,190353,55.84
GABRIEL, EQ, 09-Jan-2023,187.8,189.05,190,185.7,186.9,188,188.15,245389,461.7,6758,84477,34.43
GAEL, EQ, 09-Jan-2023,241.75,247.9,247.9,240.6,242.75,243.1,242.97,187465,455.49,7275,81660,43.56
GAIL, EQ, 09-Jan-2023,97.25,97.95,98.95,97.85,98.5,98.45,98.41,12464665,12266.39,39679,7542287,60.51
GAL, BE, 09-Jan-2023,3.2,3.35,3.35,3.2,3.25,3.25,3.3,696604,22.97,515, -, -
GAL-RE, BE, 09-Jan-2023,0.2,0.2,0.2,0.15,0.2,0.2,0.17,3259133,5.69,659, -, -
GALAXYSURF, EQ, 09-Jan-2023,2436.95,2449.1,2469.9,2385,2407.9,2393.85,2410.95,19558,471.53,4048,10996,56.22
GALLANTT, EQ, 09-Jan-2023,63.1,63.45,64.25,62.55,62.7,63.15,63.43,17557,11.14,428,8255,47.02
GANDHITUBE, EQ, 09-Jan-2023,527.2,527.2,537.15,515.25,519,520.25,519.82,6903,35.88,612,4324,62.64
GANECOS, EQ, 09-Jan-2023,896.45,901,910.4,899.3,907.65,905.25,904.01,37013,334.6,2033,26078,70.46
GANESHBE, EQ, 09-Jan-2023,137.2,139,141,138,138,138.05,138.61,54585,75.66,1362,35939,65.84
GANESHHOUC, EQ, 09-Jan-2023,371.35,373,386.15,373,379.3,377.5,378.95,72707,275.53,2364,46238,63.59
GANGAFORGE, EQ, 09-Jan-2023,4.5,4.5,4.65,4.2,4.5,4.4,4.47,150341,6.73,510,108977,72.49
GANGESSECU, EQ, 09-Jan-2023,118.9,119.25,128.5,119,126.75,125.8,125.32,19631,24.6,742,10016,51.02
GANGOTRI, BZ, 09-Jan-2023,1.1,1.15,1.15,1.05,1.15,1.15,1.14,15165,0.17,38, -, -
GARFIBRES, EQ, 09-Jan-2023,3072.2,3087.6,3098.45,3036.1,3067.55,3071.35,3058.25,6379,195.09,2511,3226,50.57
GATEWAY, EQ, 09-Jan-2023,67.9,68,69.3,68,68.9,68.85,68.86,509476,350.82,4246,372359,73.09
GATI, EQ, 09-Jan-2023,159.2,157,157.45,150,150.9,151.15,152.9,1624206,2483.44,19304,389972,24.01
GAYAHWS, EQ, 09-Jan-2023,0.9,0.9,0.9,0.85,0.85,0.85,0.87,602190,5.24,374,316198,52.51
GAYAPROJ, BE, 09-Jan-2023,8.5,8.4,8.7,8.4,8.65,8.6,8.56,194661,16.66,321, -, -
GEECEE, EQ, 09-Jan-2023,153.65,157.45,157.45,146.05,146.5,147.1,148.83,25029,37.25,905,17891,71.48
GEEKAYWIRE, EQ, 09-Jan-2023,73.9,75.9,88.65,70.65,88.65,84.6,82.77,428627,354.79,3076,225618,52.64
GENCON, EQ, 09-Jan-2023,34.05,34.8,36.9,34.4,35.8,35.95,35.84,231299,82.91,1538,139693,60.39
GENESYS, EQ, 09-Jan-2023,429.3,440,440,431.2,431.2,433.5,435,3473,15.11,296,2388,68.76
GENUSPAPER, EQ, 09-Jan-2023,18.4,18.75,18.8,18.05,18.5,18.3,18.39,519411,95.49,1481,146426,28.19
GENUSPOWER, EQ, 09-Jan-2023,84.9,85.55,91.5,85.4,88.45,88.3,89.06,1606572,1430.88,12512,512922,31.93
GEOJITFSL, EQ, 09-Jan-2023,47.15,47.5,47.65,47.05,47.2,47.15,47.26,110995,52.46,2699,65358,58.88
GEPIL, EQ, 09-Jan-2023,137.25,139,140.65,135.35,137,136.55,138.2,41293,57.07,1282,22946,55.57
GESHIP, EQ, 09-Jan-2023,647.9,651.15,656.4,642.5,644.65,646.6,649.66,238949,1552.36,21160,141520,59.23
GET&D, EQ, 09-Jan-2023,117.6,119.9,119.9,115.55,117.25,117.75,117.43,54394,63.88,5831,29340,53.94
GFLLIMITED, EQ, 09-Jan-2023,65.05,66.35,66.35,64,64.85,64.9,64.82,51939,33.67,1839,35124,67.63
GFSTEELS, BE, 09-Jan-2023,5.25,5.25,5.25,5.25,5.25,5.25,5.25,1156,0.06,7, -, -
GHCL, EQ, 09-Jan-2023,527.05,530.05,536.05,521.2,525.75,526.05,527.43,167925,885.68,8836,62649,37.31
GICHSGFIN, EQ, 09-Jan-2023,212.35,214.25,222.45,210.35,219.6,220.45,217.48,1150918,2503.04,12486,265768,23.09
GICRE, EQ, 09-Jan-2023,180.75,182.6,190.45,182.15,185.4,186.35,186.9,8064381,15072.56,45043,674502,8.36
GILLANDERS, EQ, 09-Jan-2023,74.05,75.5,76.75,74.25,75.9,75.15,75.72,14086,10.67,173,9890,70.21
GILLETTE, EQ, 09-Jan-2023,4996.55,4990,5015,4976,4981.9,4978.8,4989.01,920,45.9,338,622,67.61
GILT5YBEES, EQ, 09-Jan-2023,50.29,50.43,50.49,50.38,50.45,50.4,50.42,51301,25.86,239,41354,80.61
GINNIFILA, EQ, 09-Jan-2023,32.55,33,33,32.15,32.35,32.45,32.5,30370,9.87,247,20822,68.56
GIPCL, EQ, 09-Jan-2023,84.85,85.65,87.7,85.2,87,87,86.87,660760,573.99,6013,323188,48.91
GIRIRAJ, SM, 09-Jan-2023,222.4,220,220,211.3,211.3,211.3,213.48,4800,10.25,3,4800,100
GKWLIMITED, EQ, 09-Jan-2023,544,545.15,555,545,555,555,554.94,3802,21.1,8,3801,99.97
GLAND, EQ, 09-Jan-2023,1565.15,1575,1584.3,1558,1559,1559.5,1571.67,934310,14684.23,18215,851539,91.14
GLAXO, EQ, 09-Jan-2023,1300.85,1306,1311.9,1296,1297.1,1298,1302.26,21046,274.07,4051,10834,51.48
GLENMARK, EQ, 09-Jan-2023,423,426,431.85,424.65,426.5,426.25,428.04,364662,1560.91,11162,81329,22.3
GLOBAL, EQ, 09-Jan-2023,194.35,198,201.45,192,196,193.3,194.96,24797,48.34,700,13386,53.98
GLOBALVECT, EQ, 09-Jan-2023,55.25,57,57,54.35,55.15,55.4,55.67,8002,4.45,167,4909,61.35
GLOBE, EQ, 09-Jan-2023,4.55,4.6,5.2,4.5,4.65,4.7,4.81,2509984,120.72,1324,794738,31.66
GLOBUSSPR, EQ, 09-Jan-2023,832.7,833.1,840.2,821.4,826.5,826.4,832.91,26471,220.48,2569,12888,48.69
GLS, EQ, 09-Jan-2023,421.2,424.9,426.15,418.55,421.3,420.05,422.41,44901,189.67,2426,27839,62
GMBREW, EQ, 09-Jan-2023,600.65,608,616,600.05,603.5,603.55,608.98,19628,119.53,1905,10614,54.08
GMDCLTD, EQ, 09-Jan-2023,148.85,150,151.5,148.1,148.55,149.05,149.88,654677,981.22,6795,256145,39.13
GMMPFAUDLR, EQ, 09-Jan-2023,1632.55,1652.7,1663.8,1626.8,1635,1643.05,1644.67,103661,1704.88,9982,42615,41.11
GMRINFRA, EQ, 09-Jan-2023,40.15,40.3,40.8,40,40.5,40.65,40.37,21414107,8643.86,42728,5569492,26.01
GMRP&UI, EQ, 09-Jan-2023,21.85,22.4,22.4,21.7,21.9,21.95,22.01,188093,41.39,865,148103,78.74
GNA, EQ, 09-Jan-2023,711.9,721.75,735,720.3,734,729.7,726.98,82590,600.41,5604,45650,55.27
GNFC, EQ, 09-Jan-2023,587.6,590,596.7,576.75,577.5,579.75,586.96,1899081,11146.82,31820,359790,18.95
GOACARBON, EQ, 09-Jan-2023,569.7,571,584.9,558.05,571.35,572.05,575.11,37784,217.3,2093,21944,58.08
GOCLCORP, EQ, 09-Jan-2023,353.1,358.4,366.15,351.65,362.6,361.4,361.11,59554,215.05,4150,28156,47.28
GOCOLORS, EQ, 09-Jan-2023,1169.85,1172,1227.85,1147.55,1172,1181.9,1190.36,82348,980.24,9616,17595,21.37
GODFRYPHLP, EQ, 09-Jan-2023,1997.4,2012,2149,2011.4,2114,2127.65,2114.35,1046922,22135.63,60432,140516,13.42
GODHA, EQ, 09-Jan-2023,1.95,2,2,1.9,2,2,1.99,13949797,277.28,1956,4203170,30.13
GODREJAGRO, EQ, 09-Jan-2023,466.6,470,472.7,468,470.85,470.5,470.17,20924,98.38,1395,13556,64.79
GODREJCP, EQ, 09-Jan-2023,917.45,919.15,925,898.25,906.05,908.1,905.94,1369036,12402.58,46082,805613,58.85
GODREJIND, EQ, 09-Jan-2023,451.3,453.95,456,445,455,454,451.22,184002,830.25,10761,51691,28.09
GODREJPROP, EQ, 09-Jan-2023,1199.85,1208.4,1224.4,1204,1219.45,1216.85,1215.3,243916,2964.31,16335,75641,31.01
GOENKA, BZ, 09-Jan-2023,1.3,1.35,1.35,1.25,1.3,1.3,1.32,464804,6.12,318, -, -
GOKEX, EQ, 09-Jan-2023,362.6,364.25,367.15,359.5,362,362.7,363.29,69555,252.69,3038,36305,52.2
GOKUL, EQ, 09-Jan-2023,40.85,41.4,43.4,40.65,40.65,41,41.94,521147,218.58,3569,211989,40.68
GOKULAGRO, EQ, 09-Jan-2023,128.45,129.8,131.45,128.6,130,130.15,130.1,156161,203.17,3104,83963,53.77
GOLDBEES, EQ, 09-Jan-2023,47.5,47.72,48.28,47.71,48.16,48.11,48.1,4176477,2009.06,21015,2350370,56.28
GOLDENTOBC, BZ, 09-Jan-2023,67.7,69.05,69.05,66.45,66.85,67,67.89,1228,0.83,54, -, -
GOLDIAM, EQ, 09-Jan-2023,132.15,134.8,135.7,131.6,132,131.9,132.89,69451,92.29,1567,40899,58.89
GOLDSHARE, EQ, 09-Jan-2023,47.6,48,48.25,47.9,48.1,48.1,48.1,60802,29.24,473,45463,74.77
GOLDTECH, EQ, 09-Jan-2023,45.2,44.5,47.35,44.2,44.95,45.15,46.1,14026,6.47,336,5754,41.02
GOODLUCK, EQ, 09-Jan-2023,373.5,374.05,382.2,370.4,374.4,375.75,378.91,86102,326.25,2994,46742,54.29
GOODYEAR, EQ, 09-Jan-2023,1114.25,1128.7,1133.05,1101.15,1108,1110.65,1111.59,15073,167.55,2776,6969,46.23
GOYALALUM, EQ, 09-Jan-2023,194.85,201.4,201.4,194.55,195.55,196.85,196.11,34786,68.22,295,3727,10.71
GPIL, EQ, 09-Jan-2023,389.75,393.15,404,391.15,399.5,397.75,400.34,438198,1754.28,12147,174148,39.74
GPPL, EQ, 09-Jan-2023,96.1,98.6,98.6,94.3,95.15,95.45,95.65,3021305,2889.88,16623,1249370,41.35
GPTINFRA, EQ, 09-Jan-2023,51.7,52.1,56,51.9,54.7,54.55,54.6,68087,37.18,948,32743,48.09
GRANULES, EQ, 09-Jan-2023,319.6,322,329.35,317.3,327.1,327.35,324.15,599350,1942.8,14070,197395,32.93
GRAPHITE, EQ, 09-Jan-2023,377.55,379.9,383.25,376.1,378,378,379.68,167894,637.47,5434,45931,27.36
GRASIM, EQ, 09-Jan-2023,1680.6,1699.9,1699.9,1662.5,1669,1673.6,1678.2,653830,10972.55,39489,299225,45.76
GRAUWEIL, EQ, 09-Jan-2023,86.1,87.4,87.9,84.6,85.15,84.9,86.03,231816,199.42,3044,135861,58.61
GRAVITA, EQ, 09-Jan-2023,431.25,434.5,439.9,427.1,430,433.55,435.2,115594,503.06,6162,45276,39.17
GREAVESCOT, EQ, 09-Jan-2023,133.9,134.6,135.05,133,134.2,134.15,134.21,421683,565.94,4354,199916,47.41
GREENLAM, EQ, 09-Jan-2023,331.5,335.35,335.35,324,324.2,325.5,328.97,8436,27.75,638,5034,59.67
GREENPANEL, EQ, 09-Jan-2023,322,325.45,327.55,312,316.2,317.9,320.94,196207,629.7,8388,102322,52.15
GREENPLY, EQ, 09-Jan-2023,139.65,142.5,143.9,140.5,141.65,142.1,141.59,656087,928.97,3830,612561,93.37
GREENPOWER, EQ, 09-Jan-2023,11.15,11.4,11.5,11.1,11.2,11.15,11.24,7657300,860.83,5902,2856747,37.31
GRINDWELL, EQ, 09-Jan-2023,1936.15,1945.8,1957,1908,1955,1950.85,1937.85,41986,813.62,9350,22038,52.49
GRINFRA, EQ, 09-Jan-2023,1161.7,1161.7,1238.9,1155.25,1202,1204.3,1198.81,238492,2859.07,10518,168325,70.58
GRMOVER, EQ, 09-Jan-2023,395.35,403.5,413.8,391,397.9,395.2,395.14,269238,1063.86,1365,124960,46.41
GROBTEA, EQ, 09-Jan-2023,863.05,863,879.5,852.9,879.5,873.85,868.31,136,1.18,67,67,49.26
GRPLTD, EQ, 09-Jan-2023,2290.85,2330,2350,2265.1,2309.95,2305.35,2316.43,1947,45.1,598,874,44.89
GRSE, EQ, 09-Jan-2023,476.95,478.45,484.8,475,476.3,478.6,480.48,293235,1408.94,9914,59931,20.44
GRWRHITECH, EQ, 09-Jan-2023,650.1,659.85,663.6,641.05,650,643.35,649.13,9722,63.11,882,6992,71.92
GSCLCEMENT, EQ, 09-Jan-2023,37.85,37.4,38.3,37.4,37.8,37.8,37.89,45493,17.24,460,32538,71.52
GSFC, EQ, 09-Jan-2023,145.15,146.35,149.3,143.65,144.55,144.5,146.24,5238910,7661.14,30272,2064067,39.4
GSPL, EQ, 09-Jan-2023,275.55,282.9,283.4,275.55,276,279.45,279.83,1511657,4230.08,47665,847972,56.1
GSS, EQ, 09-Jan-2023,265.5,275,275.5,263.1,267,267.05,267.99,121194,324.78,2777,74023,61.08
GSTL, SM, 09-Jan-2023,98.8,100.7,100.7,100.7,100.7,100.7,100.7,4000,4.03,1,4000,100
GTL, EQ, 09-Jan-2023,7.95,8.05,8.05,7.8,7.9,7.85,7.93,197361,15.65,754,130962,66.36
GTLINFRA, EQ, 09-Jan-2023,1.2,1.2,1.25,1.15,1.2,1.2,1.2,23929830,287.31,7763,11864724,49.58
GTPL, EQ, 09-Jan-2023,138.9,142,144.8,140,140.2,140.55,142.42,278386,396.48,1641,221653,79.62
GUFICBIO, EQ, 09-Jan-2023,224.3,225.85,229.55,225,227,226.7,227.13,81104,184.21,3059,38496,47.46
GUJALKALI, EQ, 09-Jan-2023,750.8,750.6,760.6,745.25,747.9,751.2,754.39,45399,342.49,3041,22605,49.79
GUJAPOLLO, EQ, 09-Jan-2023,195.45,195.45,201.45,195.45,198.15,199.3,199.58,9049,18.06,487,5750,63.54
GUJGASLTD, EQ, 09-Jan-2023,481.05,488,490.75,477.2,484,483.9,483.9,893941,4325.81,23065,335158,37.49
GUJRAFFIA, BE, 09-Jan-2023,34.6,33.25,36.05,33.25,34.55,34.55,35.36,342,0.12,11, -, -
GULFOILLUB, EQ, 09-Jan-2023,427.25,429.4,431.75,423.1,427,426.35,427.54,13619,58.23,1342,7798,57.26
GULFPETRO, EQ, 09-Jan-2023,42.8,43.9,43.9,42.1,42.3,42.35,42.8,40275,17.24,567,25366,62.98
GULPOLY, EQ, 09-Jan-2023,250,251.5,268,251.5,264.25,264.3,262.66,97205,255.32,4917,50290,51.74
GVKPIL, EQ, 09-Jan-2023,3.2,3.25,3.35,3.25,3.25,3.25,3.29,2956256,97.29,1548,1463880,49.52
HAL, EQ, 09-Jan-2023,2500.4,2517,2542,2485,2495,2495.9,2505.44,532495,13341.35,34412,259165,48.67
HAPPSTMNDS, EQ, 09-Jan-2023,873.45,881,889.9,870,876.5,877.3,883.36,116898,1032.63,11579,48085,41.13
HARDWYN, EQ, 09-Jan-2023,321.25,327.9,327.9,317.05,322,319.7,320.73,5217,16.73,383,3013,57.75
HARIOMPIPE, EQ, 09-Jan-2023,344.7,347.45,352.9,336,338.9,339.3,344.22,191834,660.33,6912,59172,30.85
HARRMALAYA, EQ, 09-Jan-2023,137.05,137.6,142.05,137,137.6,137.5,139.41,81068,113.02,1674,23173,28.58
HARSHA, EQ, 09-Jan-2023,390.85,392.8,399.95,392.4,398.25,397.9,397.01,322390,1279.91,4066,294867,91.46
HATHWAY, EQ, 09-Jan-2023,17.05,17.2,17.3,16.95,17,17,17.09,920598,157.33,2740,469723,51.02
HATSUN, EQ, 09-Jan-2023,897.4,901.9,901.9,890.6,895.9,895.1,895.73,11187,100.21,3572,6994,62.52
HAVELLS, EQ, 09-Jan-2023,1192.5,1203.1,1203.1,1177,1188.9,1186.45,1186.35,570085,6763.2,38181,230432,40.42
